StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,prolific_id,raccoon_feature,raccoon_explain,skunk_feature,skunk_explain,vulture_feature,vulture_explain,bee_feature,bee_explain,clock_feature,clock_explain,abacus_feature,abacus_explain,canopener_feature,canopener_explain,carburetor_feature,carburetor_explain,sex,age,race,Condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"CONSENT FORM

 

Thank you for agreeing to take part in this study. We appreciate your time and effort. In this study, we will present you with a fictional scenario, and then we will ask you to answer a brief series of questions about that scenario. The questions have no right or wrong answers-- we’re just exploring features of human psychology in this research. You will be paid $0.70 for your time and efforts. We do not anticipate any risks from participating in this research. While you will not directly benefit from taking part in this research study, we hope society and the scientific community will benefit from the knowledge gained about human psychology and judgment.

 

Your involvement should take about 5 minutes. Your participation is voluntary and you can stop at any time. If you consent to take part in this survey, please indicate so below, and then click the arrow to advance. If not, simply close your browser window. 

 

The research data will be collected anonymously. We will not ask you to provide any personally identifiable information (such as an email-address, name, etc.) and will not be able to link your response to you. We anticipate that your participation in this survey presents no greater risk than everyday use of the Internet. Of course, please note that there is always the possible risk of intrusion by outside agents (i.e. hacking) whenever information shared over the Internet. In order to keep your identifying information and data from this study separate, we will host the survey on an unaffiliated platform, Qualtrics. Thus, Prolific will not have access to the data you provide us. Additionally, we will not ask for directly or indirectly identifiable information in the survey. 

 

If you have any questions about the research study, please contact Shaun Nichols (sbn44@cornell.edu) at Cornell University. If you have any questions or concerns regarding your rights as a subject in this study, you may contact the Institutional Review Board (IRB) for Human Participants at 607-255-5138 or access their website at http://www.irb.cornell.edu. You may also report your concerns or complaints anonymously through Ethicspoint online at www.hotline.cornell.edu or by calling toll free at 1-866-293-3077. Ethicspoint is an independent organization that serves as a liaison between the University and the person bringing the complaint so that anonymity can be ensured.

 Taking part in this study is voluntary. You can stop at any time. Withdrawal or refusal to participate will not result in any penalty. You do not waive any legal rights or release any agent from liability for negligence by consenting to participate. 
If you consent to take part in this survey, please indicate so below:",Please enter your Prolific ID:,What do you think the most important features are that make a raccoon a raccoon?,"When you think about what makes a raccoon a raccoon, what explains why it has those features?",What do you think the most important features are that make a skunk a skunk?,"When you think about what makes a skunk a skunk, what explains why it has those features?",What do you think the most important features are that make a vulture a vulture?,"When you think about what makes a vulture a vulture, what explains why it has those features?",What do you think the most important features are that make a bee a bee?,"When you think about what makes a bee a bee, what explains why it has those features?",What do you think the most important features are that make a clock a clock?,"When you think about what makes a clock a clock, what explains why it has those features?",What do you think the most important features are that make an abacus an abacus?,"When you think about what makes an abacus an abacus, what explains why it has those features?",What do you think the most important features are that make a can opener a can opener?,"When you think about what makes a can opener a can opener, what explains why it has those features?",What do you think the most important features are that make a carburetor a carburetor?,"When you think about what makes a carburetor a carburetor, what explains why it has those features?",Please indicate your sex.,Please indicate your age (in years),What is your race/ethnicity?,Condition
"{""ImportId"":""startDate"",""timeZone"":""America/Phoenix""}","{""ImportId"":""endDate"",""timeZone"":""America/Phoenix""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Phoenix""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID33""}","{""ImportId"":""QID254_TEXT""}","{""ImportId"":""QID491_TEXT""}","{""ImportId"":""QID492_TEXT""}","{""ImportId"":""QID489_TEXT""}","{""ImportId"":""QID490_TEXT""}","{""ImportId"":""QID479_TEXT""}","{""ImportId"":""QID480_TEXT""}","{""ImportId"":""QID477_TEXT""}","{""ImportId"":""QID478_TEXT""}","{""ImportId"":""QID501_TEXT""}","{""ImportId"":""QID502_TEXT""}","{""ImportId"":""QID505_TEXT""}","{""ImportId"":""QID506_TEXT""}","{""ImportId"":""QID503_TEXT""}","{""ImportId"":""QID504_TEXT""}","{""ImportId"":""QID507_TEXT""}","{""ImportId"":""QID508_TEXT""}","{""ImportId"":""QID1719910665""}","{""ImportId"":""QID1719910666_TEXT""}","{""ImportId"":""QID1719910667""}","{""ImportId"":""Condition""}"
8/4/25 7:16,8/4/25 7:18,IP Address,*******,100,99,TRUE,8/4/25 7:18,R_7Pi1vf7VHJKK35I,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",5724e865386f1b0013e9563a,"Eye mask, little hands, ringed tail",People know those features,"Black and white stripe, poofy tail, stinky",those are its defining features,Bald head and hunch,Because they are universally known features,Black and yellow,Because everyone recognizes that as a bee,,,,,,,,,Female,33,White / European-American,Biological
8/4/25 7:17,8/4/25 7:19,IP Address,*******,100,92,TRUE,8/4/25 7:19,R_7mDFpqFQN1o04X0,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",67a4e8dd295e3fb3cf7cee74,Their hands,To grab and eat thinfs,The tail,To spray,The beak and talons,To eat dead animals,The stinger,To sting ,,,,,,,,,Male,34,White / European-American,Biological
8/4/25 7:17,8/4/25 7:19,IP Address,*******,100,156,TRUE,8/4/25 7:19,R_1QLTYTN66ktebMg,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",5b91dc16cc81a400017a3438,,,,,,,,,"The different hands (second, minute, and hour)",To be able to distinguish a time ,The beads attached on the line,To be able to do calculations ,Way to turn and cut the can in a circle motion,A edge sharp enough to cut into the metal can. ,A filtration system ,To be able to run continuously ,Male,30,White / European-American,Artifact
8/4/25 7:16,8/4/25 7:19,IP Address,*******,100,194,TRUE,8/4/25 7:19,R_11NPY3gFVd3xulb,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",5f75e9c8b2863b2bb2cb78c2,"striped tail, four legs, sharp claws",it is an animal that needs to scavenge to find food,"black with the long white stripe down its back, the smell it emits",it has the power of its smell to protect itself from predators,"sharp beak, big wings, feathers",it is a predator that flies to find prey,"wings, stinger, black and yellow",it is an insect that transports pollen,,,,,,,,,Female,24,White / European-American,Biological
8/4/25 7:19,8/4/25 7:20,IP Address,*******,100,97,TRUE,8/4/25 7:20,R_6kNYJCdZ9beOpFN,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",663e3f366b93a2c1016f6e6c,,,,,,,,,The numbers and hands.,So that we can tell time.,That the balls can move.,So that we can count or keep track of things.,The two circle cutting blades.,To open cans.,That is has all of the pieces,I don't know much about carbuertors,Female,28,White / European-American,Artifact
8/4/25 7:16,8/4/25 7:20,IP Address,*******,100,255,TRUE,8/4/25 7:20,R_6DhcdZXZ2IoY76N,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",673cd43cfac31b5664ed1042,It's DNA.,It evolved and adapted overtime to increase it's species chances of survival.,It's DNA.,It evolved to be the way it is to increase it's odds of survival.,It's DNA.,It evolved and developed it's features through different generations to increase the species ability to survive.,It's DNA. ,It evolved and adapted to it's environment as a species so the species could survive.,,,,,,,,,Female,49,White / European-American,Biological
8/4/25 7:17,8/4/25 7:21,IP Address,*******,100,241,TRUE,8/4/25 7:21,R_61jIg4gNMlgnc9x,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",5ad13714a010190001b35d66,Little hands that can pick up food. Fur patterns and a robust body sufficient for urban and rural survival. Smart brains. ,It has developed these features over time in order to adapt to nighttime foraging. ,Black and white fur and ability to spray scent. ,Scent making abilities allow for it to repel enemies. ,Long neck and expansive wingspan. Sharp claws for tearing food. ,The body of the bird has adapted over time to allow for it to successfully forage meat and sustain long periods of no food sources. It has sharp claw for tearing food. ,Wings and ability to fly. ,"It allows bees to ""collect"" pollen for food from plants easily. ",,,,,,,,,Female,46,White / European-American,Biological
8/4/25 7:17,8/4/25 7:21,IP Address,*******,100,250,TRUE,8/4/25 7:21,R_1plgtUXtSQL9Lng,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",5feb72dccbe069c16ef3c292,,,,,,,,,Accurate time keeping,It needs to function harmoniously to accurately keep time.,"A quick, visual way to count.","It has rows of beads representing numerical dimensions (ones, tens, hundreds, etc.)",Ablitity to open tin cans,I has a cutting wheel that opens tin cans.,Performs it's function to mix air into fuel.,It is a part that performs the task of adding air to fuel to allow the engine/vehicle to run.,Female,30,White / European-American,Artifact
